No.,Compound ID,SMILES,Assay ID,LogP app
89,CHEMBL561050,"C(=O)(c1cc(I)c(OCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-3.27
90,CHEMBL561051,"C(=O)(c1c(Cl)cc(SCCCCCC)c(Cl)c1)CC[NH+]1CCN(S(=O)(=O)CC)CC1	
",CHEMBL1034536,-4.7
91,CHEMBL561052,"C(=O)(c1c(Cl)cc(SCCCCCC)cc1Cl)CC[NH+](C)C	
",CHEMBL1034536,-3.46
92,CHEMBL561170,"C(=O)(c1c(Cl)cc(SCCCCCC)cc1Cl)CC[N@H+]1[C](C)C1	
",CHEMBL1034536,-3.72
93,CHEMBL561245,"C(=O)(c1ccc(OCCCCCC)cc1)CC[NH+]1CCOCC1	
",CHEMBL1034536,-2.75
94,CHEMBL561446,"C(=O)(c1c(Cl)cc(S(=O)(=O)CCCCCC)cc1Cl)CC[NH+](C)C	
",CHEMBL1034536,-3.77
95,CHEMBL561569,"C(=O)(c1c(Cl)cc(S(=O)(=O)CCCCCC)c(Cl)c1)CC[NH+](C)C	
",CHEMBL1034536,-4.05
96,CHEMBL561570,"C(=O)(c1c(Cl)cc(S(=O)(=O)CCCCCC)c(Cl)c1)CC[NH+]1CCOCC1	
",CHEMBL1034536,-3.17
97,CHEMBL561573,"C(=O)(c1c(Cl)cc(S(=O)(=O)CCCCCC)cc1)CC[N@H+]1[C](C)C1	
",CHEMBL1034536,-3.8
98,CHEMBL561574,"C(=O)(c1c(Cl)cc(S(=O)(=O)CCCCCC)cc1)CC[NH+]1CCN(S(=O)(=O)CC)CC1	
",CHEMBL1034536,-3.52
99,CHEMBL561648,"C(=O)(NCCCCCC)c1ccc(C(=O)CC[NH+](C)C)cc1	
",CHEMBL1034536,-3.11
100,CHEMBL561649,"C(=O)(c1c(C)cc(S(=O)(=O)CCCCCC)cc1C)CC[NH+](C)C	
",CHEMBL1034536,-2.73
101,CHEMBL561650,"C(=O)(c1c(Cl)c(Cl)c(OCCCCCC)cc1)CC[N@H+]1[C](C)C1	
",CHEMBL1034536,-3.43
102,CHEMBL561653,"C(=O)(c1ccc(c2ccc(OCCCCCC)cc2)cc1)CC[NH+](C)C	
",CHEMBL1034536,-3.82
103,CHEMBL561850,"c1c(CCCCCCC)ccc(C(=O)CC[NH+](C)C)c1	
",CHEMBL1034536,-2.81
104,CHEMBL561975,"C(=O)(c1c(Cl)c(Cl)c(S(=O)(=O)CCCCCC)cc1)CC[NH+]1CCN(C(=O)C)CC1	
",CHEMBL1034536,-3.11
105,CHEMBL562173,"C(=O)(c1c(C)cc(S(=O)(=O)CCCCCC)cc1C)CC[N@H+]1[C](C)C1	
",CHEMBL1034536,-2.92
106,CHEMBL562250,"C(=O)(c1ccc(OCCCCCC)cc1)CC[N@H+]1[C](C)C1	
",CHEMBL1034536,-2.78
107,CHEMBL562251,"C(=O)(c1c(Cl)c(Cl)c(S(=O)(=O)CCCCCC)cc1)CC[N@H+]1[C](C)C1	
",CHEMBL1034536,-3.36
108,CHEMBL562507,"C(=O)(c1c(Cl)cc(SCCCCCC)cc1)CC[N@H+]1[C](C)C1	
",CHEMBL1034536,-3.3
109,CHEMBL563032,"C(=O)(c1c(C)cc(S(=O)(=O)CCCCCC)cc1C)CC[NH+]1CCN(C(=O)C)CC1	
",CHEMBL1034536,-3.33
110,CHEMBL563154,"C(=O)(c1c(Cl)cc(SCCCCCC)c(Cl)c1)CC[NH+]1CCOCC1	
",CHEMBL1034536,-2.88
111,CHEMBL563175,"C(=O)(c1c(Cl)cc(S(=O)(=O)CCCCCC)c(Cl)c1)CC[NH+]1CCN(C(=O)C)CC1	
",CHEMBL1034536,-3.17
112,CHEMBL563181,"C(=O)(c1c(Cl)cc(OCCCCCC)cc1)CC[NH+](C)C	
",CHEMBL1034536,-2.71
113,CHEMBL563566,"C(=O)(c1c(Cl)cc(S(=O)(=O)CCCCCC)c(Cl)c1)CC[NH+]1CCN(S(=O)(=O)CC)CC1	
",CHEMBL1034536,-3.14
